229 data group id,229 parent type,229 parent id,compliance parameter category,compliance parameter name,compliance parameter value
Only model description,ruleset_model_descriptions,project description root,ruleset_project_description,type,PROPOSED
Only model description,ruleset_model_descriptions,project description root,ruleset_project_description,measured_infiltration_pressure_difference,0
Only model description,ruleset_model_descriptions,project description root,ruleset_project_description,is_measured_infiltration_based_on_test,false
segment 1,building_segments,OfficeSmall,building_segment,is_all_new,true
segment 1,building_segments,OfficeSmall,building_segment,is_all_new,true
segment 1,building_segments,OfficeSmall,building_segment,lighting_building_area_type,OFFICE
segment 1,building_segments,OfficeSmall,building_segment,area_type_vertical_fenestration,OFFICE_MEDIUM
segment 1,building_segments,OfficeSmall,building_segment,area_type_heating_ventilating_air_conditioning_system,OTHER_NON_RESIDENTIAL
PSZ-AC:1,heating_ventilating_air_conditioning_systems,segment 1,heating_ventilating_air_conditioning_systems,status_type,NEW
PSZ-AC:2,heating_ventilating_air_conditioning_systems,segment 1,heating_ventilating_air_conditioning_systems,status_type,NEW
PSZ-AC:3,heating_ventilating_air_conditioning_systems,segment 1,heating_ventilating_air_conditioning_systems,status_type,NEW
PSZ-AC:4,heating_ventilating_air_conditioning_systems,segment 1,heating_ventilating_air_conditioning_systems,status_type,NEW
PSZ-AC:5,heating_ventilating_air_conditioning_systems,segment 1,heating_ventilating_air_conditioning_systems,status_type,NEW
ATTIC,zones,segment 1,zone,aggregation_factor,1
CORE_ZN,zones,segment 1,zone,aggregation_factor,1
PERIMETER_ZN_1,zones,segment 1,zone,aggregation_factor,1
PERIMETER_ZN_2,zones,segment 1,zone,aggregation_factor,1
PERIMETER_ZN_3,zones,segment 1,zone,aggregation_factor,1
PERIMETER_ZN_4,zones,segment 1,zone,aggregation_factor,1
ATTIC,zones,segment 1,zone,conditioning_type,HEATED_AND_COOLED
CORE_ZN,zones,segment 1,zone,conditioning_type,HEATED_AND_COOLED
PERIMETER_ZN_1,zones,segment 1,zone,conditioning_type,HEATED_AND_COOLED
